t,scenario,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
0.0,baseline,optimal_fallow,107312.92467381715,107365.05938263399,315.43209876543204,0.0,-1.3462708870205735,14.70754238118274,-16.053813268203314
1.825,baseline,optimal_fallow,107309.43578743479,107362.60243826518,316.3547734860571,0.0,-1.3462708870205735,14.707205813460986,-16.05347670048156
3.65,baseline,optimal_fallow,107305.94690105245,107360.14549389636,317.2774482066822,0.0,-1.3462708870205735,14.70686924573923,-16.053140132759804
5.475,baseline,optimal_fallow,107302.24302630313,107357.30038045524,318.1893201375078,0.0,-1.7469296300194501,14.706479504171952,-16.453409134191403
7.3,baseline,optimal_fallow,107298.34916183414,107354.11223388046,319.0916454168828,0.0,-1.7469296300194501,14.706042771764448,-16.4529724017839
9.125,baseline,optimal_fallow,107294.41762005903,107350.8662405674,320.02510355432264,0.0,-2.260418484916141,14.70559811514622,-16.96601660006236
10.95,baseline,optimal_fallow,107289.91338323064,107346.74097683241,321.4317811343494,0.0,-2.260418484916141,14.705033010524991,-16.965451495441133
12.775,baseline,optimal_fallow,107285.40914640225,107342.61571309745,322.83845871437615,0.0,-2.260418484916141,14.704467905903762,-16.964886390819903
14.6,baseline,optimal_fallow,107280.7816758861,107338.17611234804,323.7124539951599,0.0,-2.551072573613445,14.703859741417542,-17.254932315030988
16.425,baseline,optimal_fallow,107276.06948220963,107333.5204049012,324.220230195214,0.0,-2.551072573613445,14.703221973274138,-17.254294546887582
18.25,baseline,optimal_fallow,107271.28111482284,107328.7561438587,324.7749450741581,0.0,-3.032872094001663,14.702569334775166,-17.73544142877683
20.075,baseline,optimal_fallow,107265.95191409279,107323.22115228715,325.6629245732206,0.0,-3.032872094001663,14.701811116751667,-17.73468321075333
21.9,baseline,optimal_fallow,107260.62271336274,107317.68616071559,326.5509040722831,0.0,-3.032872094001663,14.701052898728165,-17.73392499272983
23.725,baseline,optimal_fallow,107255.01183152954,107311.76322573313,327.27500258470974,0.0,-3.3577458731078593,14.700241537771664,-18.057987410879523
25.55,baseline,optimal_fallow,107249.25213703807,107305.6353395147,327.91252246268726,0.0,-3.3577458731078593,14.699402101303386,-18.057147974411244
27.375,baseline,optimal_fallow,107243.36729432459,107299.36134669068,328.47088066749836,0.0,-3.7900613088405164,14.698542650231602,-18.48860395907212
29.2,baseline,optimal_fallow,107236.93179943433,107292.44448480205,328.68092751037744,0.0,-3.7900613088405164,14.697595134904393,-18.48765644374491
31.025,baseline,optimal_fallow,107230.49630454407,107285.52762291342,328.8909743532565,0.0,-3.7900613088405164,14.696647619577183,-18.4867089284177
32.85,baseline,optimal_fallow,107223.34401688277,107277.79223045905,328.9506172839506,0.0,-4.416428581629132,14.695587976775213,-19.112016558404346
34.675,baseline,optimal_fallow,107215.90748381226,107269.73224829757,328.95061728395063,0.0,-4.416428581629132,14.694483869629806,-19.11091245125894
36.5,baseline,optimal_fallow,107208.24579944518,107261.40112227797,328.9853541412132,0.0,-5.018145088742048,14.693342619490135,-19.711487708232184
38.325,baseline,optimal_fallow,107199.89740362362,107252.24300749101,329.1260384131265,0.0,-5.018145088742048,14.692088083217948,-19.710233171959995
40.15,baseline,optimal_fallow,107191.54900780204,107243.08489270405,329.2667226850397,0.0,-5.018145088742048,14.690833546945763,-19.70897863568781
41.975,baseline,optimal_fallow,107182.6199169195,107233.28345868144,329.3116501042824,0.0,-5.47136411973557,14.689490884750885,-20.160855004486457
43.8,baseline,optimal_fallow,107173.52491316242,107223.29821916293,329.3292184227621,0.0,-5.47136411973557,14.688123043720951,-20.15948716345652
45.625,baseline,optimal_fallow,107164.15076749738,107212.97998081055,329.3696761271976,0.0,-6.0625510905191975,14.686709586412405,-20.749260676931602
47.45,baseline,optimal_fallow,107154.15134395855,107201.91582507035,329.4614060561739,0.0,-6.0625510905191975,14.685193948639775,-20.74774503915897
